動詞,ます形,ない型,て形 (音便),中文,た形,ます形發音,たい形,命令形,發音
生む,生みます,生まない,生んで,生出／產生,生んだ,うみます,生みたい,生め,うむ
産む,産みます,産まない,産んで,生產（孩子、卵）,産んだ,うみます,産みたい,産め,うむ
飼う,飼います,飼わない,飼って,養／飼養,飼った,かいます,飼いたい,飼え,かう
かく,かきます,かかない,かいて,抓／撓,かいた,かきます,かきたい,かけ,かく
描く,描きます,描かない,描いて,畫畫,描いた,かきます,描きたい,描け,かく
嗅ぐ,嗅ぎます,嗅がない,嗅いで,聞／嗅,嗅いだ,かぎます,嗅ぎたい,嗅げ,かぐ
蹴る,蹴ります,蹴らない,蹴って,踢,蹴った,けります,蹴りたい,蹴れ,ける
刺す,刺します,刺さない,刺して,刺／釘／扎,刺した,さします,刺したい,刺せ,さす
指す,指します,指さない,指して,指／指向 (發音: さす),指した,さします,指したい,指せ,さす
炊く,炊きます,炊かない,炊いて,炊（飯）、煮（飯）,炊いた,たきます,炊きたい,炊け,たく
抱く,抱きます,抱かない,抱いて,抱（具體）,抱いた,だきます,抱きたい,抱け,だく
溶く,溶きます,溶かない,溶いて,溶解／化開 (發音: とく),溶いた,ときます,溶きたい,溶け,とく
解く,解きます,解かない,解いて,解開／解除 (發音: とく),解いた,ときます,解きたい,解け,とく
縫う,縫います,縫わない,縫って,縫／縫紉,縫った,ぬいます,縫いたい,縫え,ぬう
拭く,拭きます,拭かない,拭いて,擦拭／抹,拭いた,ふきます,拭きたい,拭け,ふく
剥く,剥きます,剥かない,剥いて,剝／削,剥いた,むきます,剥きたい,剥け,むく
振る,振ります,振らない,振って,搖／揮動,振った,ふります,振りたい,振れ,ふる
揉む,揉みます,揉まない,揉んで,揉／按,揉んだ,もみます,揉みたい,揉め,もむ
割る,割ります,割らない,割って,打破／除（法） (發音: わる),割った,わります,割りたい,割れ,わる
描く,描きます,描かない,描いて,描寫／描繪,描いた,えがきます,描きたい,描け,えがく
祝う,祝います,祝わない,祝って,祝福／慶祝,祝った,いわいます,祝いたい,祝え,いわう
隠す,隠します,隠さない,隠して,隱藏／躲藏 (發音: かくす),隠した,かくします,隠したい,隠せ,かくす
囲む,囲みます,囲まない,囲んで,圍起來／包圍 (發音: かこむ),囲んだ,かこみます,囲みたい,囲め,かこむ
殺す,殺します,殺さない,殺して,殺／殺害,殺した,ころします,殺したい,殺せ,ころす
誘う,誘います,誘わない,誘って,邀約／邀請,誘った,さそいます,誘いたい,誘え,さそう
倒す,倒します,倒さない,倒して,打倒／弄倒／放倒／推翻,倒した,たおします,倒したい,倒せ,たおす
叩く,叩きます,叩かない,叩いて,拍打／敲打,叩いた,たたきます,叩きたい,叩け,たたく
畳む,畳みます,畳まない,畳んで,摺／疊,畳んだ,たたみます,畳みたい,畳め,たたむ
騙す,騙します,騙さない,騙して,欺騙,騙した,だまします,騙したい,騙せ,だます
掴む,掴みます,掴まない,掴んで,抓住／抓到,掴んだ,つかみます,掴みたい,掴め,つかむ
繋ぐ,繋ぎます,繋がない,繋いで,連接／拴／繫／牽／延續 (發音: つなぐ),繋いだ,つなぎます,繋ぎたい,繋げ,つなぐ
潰す,潰します,潰さない,潰して,擊潰／碾碎／消磨,潰した,つぶします,潰したい,潰せ,つぶす
通す,通します,通さない,通して,穿透／通過／貫徹 (發音: とおす),通した,とおします,通したい,通せ,とおす
治す,治します,治さない,治して,治療／醫治,治した,なおします,治したい,治せ,なおす
流す,流します,流さない,流して,流／沖走,流した,ながします,流したい,流せ,ながす
殴る,殴ります,殴らない,殴って,揍／毆打,殴った,なぐります,殴りたい,殴れ,なぐる
握る,握ります,握らない,握って,握,握った,にぎります,握りたい,握れ,にぎる
残す,残します,残さない,残して,留下、剩下、殘留、遺留,残した,のこします,残したい,残せ,のこす
望む,望みます,望まない,望んで,希望／要求,望んだ,のぞみます,望みたい,望め,のぞむ
外す,外します,外さない,外して,取下／錯過／離席 (發音: はずす),外した,はずします,外したい,外せ,はずす
放す,放します,放さない,放して,放開,放した,はなします,放したい,放せ,はなす
離す,離します,離さない,離して,離開 (發音: はなす),離した,はなします,離したい,離せ,はなす
含む,含みます,含まない,含んで,含／包含 (發音: ふくむ),含んだ,ふくみます,含みたい,含め,ふくむ
招く,招きます,招かない,招いて,招攬／招待／招致,招いた,まねきます,招きたい,招け,まねく
守る,守ります,守らない,守って,守護 (發音: まもる),守った,まもります,守りたい,守れ,まもる
捲る,捲ります,捲らない,捲って,掀起／捲起,捲った,めくります,捲りたい,捲れ,めくる
訳す,訳します,訳さない,訳して,譯／翻譯,訳した,やくします,訳したい,訳せ,やくす
破る,破ります,破らない,破って,撕破／打破、突破／違反／打敗 (發音: やぶる),破った,やぶります,破りたい,破れ,やぶる
譲る,譲ります,譲らない,譲って,讓／退讓,譲った,ゆずります,譲りたい,譲れ,ゆずる
許す,許します,許さない,許して,允許／原諒／寬恕,許した,ゆるします,許したい,許せ,ゆるす
こぼす,こぼします,こぼさない,こぼして,灑落／流落 (發音: こぼす),こぼした,こぼします,こぼしたい,こぼせ,こぼす
争う,争います,争わない,争って,爭／競爭／爭吵、爭執／爭取,争った,あらそいます,争いたい,争え,あらそう
表す,表します,表さない,表して,表示／表現／代表,表した,あらわします,表したい,表せ,あらわす
現す,現します,現さない,現して,顯露／現出／嶄露,現した,あらわします,現したい,現せ,あらわす
断る,断ります,断らない,断って,拒絕,断った,ことわります,断りたい,断れ,ことわる
下ろす,下ろします,下ろさない,下ろして,卸下／放下／提取,下ろした,おろします,下ろしたい,下ろせ,おろす
切らす,切らします,切らさない,切らして,用盡、用光／中斷 (發音: きらす),切らした,きらします,切らしたい,切らせ,きらす
冷ます,冷まします,冷まさない,冷まして,使冷卻／弄涼,冷ました,さまします,冷ましたい,冷ませ,さます
覚ます,覚まします,覚まさない,覚まして,喚醒／叫醒,覚ました,さまします,覚ましたい,覚ませ,さます
過ごす,過ごします,過ごさない,過ごして,過（日子）,過ごした,すごします,過ごしたい,過ごせ,すごす
済ます,済まします,済まさない,済まして,完成／了事／處理 (發音: すます),済ました,すまします,済ましたい,済ませ,すます
溶かす,溶かします,溶かさない,溶かして,溶解 (發音: とかす),溶かした,とかします,溶かしたい,溶かせ,とかす
飛ばす,飛ばします,飛ばさない,飛ばして,放飛／跳過／飆車,飛ばした,とばします,飛ばしたい,飛ばせ,とばす
鳴らす,鳴らします,鳴らさない,鳴らして,使～發出聲音、鳴、弄響,鳴らした,ならします,鳴らしたい,鳴らせ,ならす
似合う,似合います,似合わない,似合って,配／合適／相稱,似合った,にあいます,似合いたい,似合え,にあう
濡らす,濡らします,濡らさない,濡らして,弄濕,濡らした,ぬらします,濡らしたい,濡らせ,ぬらす
