動詞原形,ます形,て形,ない型,た形,命令形,せる形 / れる形,原形發音,ます形發音,中文,意向形
言う,言います,言って,言わない,言った,言いなさい,言わせる,いう,いいます,說、表達～【他動詞・五段動詞】,
売る,売ります,売って,売らない,売った,売りなさい,売らせる,うる,うります,賣【他動詞・五段動詞】,
置く,置きます,置いて,置かない,置いた,置きなさい,置かせる,おく,おきます,放置、擺放～【他動詞・五段動詞】,
押す,押します,押して,押さない,押した,押しなさい,押させる,おす,おします,推、按、壓～【他動詞・五段動詞】,
買う,買います,買って,買わない,買った,買いなさい,買わせる,かう,かいます,買【他動詞・五段動詞】,
書く,書きます,書いて,書かない,書いた,書きなさい,書かせる,かく,かきます,寫【他動詞・五段動詞】,
貸す,貸します,貸して,貸さない,貸した,貸しなさい,貸させる,かす,かします,借給～（借出的一方）【他動詞・五段動詞】,
聞く,聞きます,聞いて,聞かない,聞いた,聞きなさい,聞かせる,きく,ききます,聽～；詢問～【他動詞・五段動詞】,
切る,切ります,切って,切らない,切った,切りなさい,切らせる,きる,きります,切、割～；關掉、中斷～【他動詞・五段動詞】,
消す,消します,消して,消さない,消した,消しなさい,消させる,けす,けします,關掉、擦除、消滅～【他動詞・五段動詞】,
知る,知ります,知って,知らない,知った,知りなさい,知らせる,しる,しります,知道、得知～【他動詞・五段動詞】,
吸う,吸います,吸って,吸わない,吸った,吸え,吸わせる,すう,すいます,吸【他動詞・五段動詞】,
出す,出します,出して,出さない,出した,出せ,出させる,だす,だします,拿出、交出；寄出；提出～【他動詞・五段動詞】,
撮る,撮ります,撮って,撮らない,撮った,撮れ,撮らせる,とる,とります,拍攝（照片、影片）【他動詞・五段動詞】,
取る,取ります,取って,取らない,取った,取れ,取らせる,とる,とります,拿取～；取得～【他動詞・五段動詞】,
脱ぐ,脱ぎます,脱いで,脱がない,脱いた,脱げ,脱がせる,ぬぐ,ぬぎます,脫(衣物等)【他動詞・五段動詞】,
飲む,飲みます,飲んで,飲まない,飲んだ,飲め,飲ませる,のむ,のみます,喝【他動詞・五段動詞】,
穿く,穿きます,穿いで,穿かない,穿った,穿け,穿かせる,はく,はきます,穿上（褲子、裙子）【他動詞・五段動詞】,
履く,履きます,履いて,履かない,履いた,履け,履かせる,はく,はきます,穿上（鞋襪）【他動詞・五段動詞】,
